system_type,product_index,brand,series,capacity,capacity_num_kw,size_kw,phase,model,unit_price_inc_gst,price_inc_gst,rebate,net_unit_cost_inc_gst_minus_rebate
Split,51,Panasonic,HZ Series,5.0kW,5,,,CS/CU-HZ50YKR,1516.00,,0.00,1516.00
Split,52,Panasonic,HZ Series,7.1kW,7.1,,,CS/CU-HZ71YKR,1905.00,,0.00,1905.00
Split,53,Panasonic,HZ Series,8.0kW,8,,,CS/CU-HZ80YKR,2249.00,,0.00,2249.00
Split,54,Actron Air,Serene DS,2.6kW,2.6,,,WRC-026DS / WRE-026DS,741.27,,0.00,741.27
Split,55,Actron Air,Serene DS,3.5kW,3.5,,,WRC-035DS / WRE-035DS,910.32,,0.00,910.32
Split,56,Actron Air,Serene DS,5.0kW,5,,,WRC-050DS / WRE-050DS,1219.99,,0.00,1219.99
Split,57,Actron Air,Serene DS,6.0kW,6,,,WRC-060DS / WRE-060DS,1296.28,,0.00,1296.28
Split,58,Actron Air,Serene DS,7.2kW,7.2,,,WRC-072DS / WRE-072DS,1446.63,,0.00,1446.63
Split,59,Actron Air,Serene DS,8.0kW,8,,,WRC-080DS / WRE-080DS,1725.64,,0.00,1725.64
Split,60,Actron Air,Serene DS,9.0kW,9,,,WRC-090DS / WRE-090DS,2003.14,,0.00,2003.14
Ducted,0,Mitsubishi Heavy Industries,,7.1kW,7.1,7.1,Single,FDCA71VNX-W / FDU71VH,2524.00,2524.00,1380.00,1144.00
Ducted,1,Mitsubishi Heavy Industries,,10.0kW,10,10,Single,FDC100VNP-W / FDU100VH,2464.44,2464.44,1823.50,640.94
Ducted,2,Mitsubishi Heavy Industries,,12.0kW,12,12,Single,FDCA125VNX-W/FDUA125VH,2949.10,2949.10,1340.48,1608.62
Ducted,3,Mitsubishi Heavy Industries,,14.0kW,14,14,Single,FDCA140VNX-W/FDUA140VH,4250.00,4250.00,2134.78,2115.22
Ducted,4,Mitsubishi Heavy Industries,,16.0kW,16,16,Single,FDCA160VNX-W/FDUA160VH,4730.00,4730.00,1919.94,2810.06
Ducted,5,LG,,10.5kW,10.5,10.5,Single,UU100WR3 U30/UHN100M2S N20,2411.55,2411.55,1778.76,632.79
Ducted,6,LG,,12.5kW,12.5,12.5,Single,UU125WR3 U30/UHN125M3S N30,2770.43,2770.43,1432.52,1337.91
Ducted,7,LG,,14.0kW,14,14,Single,UU140WR3 U30/UHN140M3S N30,3006.08,3006.08,1603.84,1402.24
Ducted,8,LG,,15.0kW,15,15,Single,UU150WR3 U30 / UHN150M3S N30,3174.25,3174.25,1095.04,2079.21
Ducted,9,Daikin,,7.0kW,7,7,Single,RZAS71C2V1 / FDYA71AV19,3150.00,3150.00,1194.00,1956.00
Ducted,10,Daikin,,10.0kW,10,10,Single,RZAS100C2V1 / FDYA100AV19,4150.74,4150.74,1823.50,2327.24
Ducted,11,Daikin,,12.5kW,12.5,12.5,Single,RZAS125C2V1 / FDYA125AV19,4781.92,4781.92,2033.34,2748.58
Ducted,12,Daikin,,14.0kW,14,14,Single,RZAS140C2V1 / FDYA140AV19,5349.56,5349.56,2134.78,3214.78
Ducted,13,Daikin,,16.0kW,16,16,Single,RZAS160C2V1 / FDYA160AV19,5870.39,5870.39,1919.94,3950.45
Ducted,14,Daikin,,18.0kW,18,18,Three,RZAS180DY1 / FDYA180AV1,6722.28,6722.28,0.00,6722.28
Ducted,15,Daikin,,20.0kW,20,20,Three,RZAS200DY1 / FDYA200AV1,7212.17,7212.17,0.00,7212.17
Ducted,16,Fujitsu,,7.1kW,7.1,7.1,Single,AOTH24KBTA/ARTH24KHTA,2570.00,2570.00,889.20,1680.80
Ducted,17,Fujitsu,,8.5kW,8.5,8.5,Single,AOTH30KBTA/ARTH30KHTA,2970.00,2970.00,1372.86,1597.14
Ducted,18,Fujitsu,,10.0kW,10,10,Single,AOTH36KBTA/ARTH36KHTA,3200.00,3200.00,1743.26,1456.74
